tool		SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringValueOf05.yml	false	false	3.196585	3.210142185999757	113.967104
jbmc-regression/StringValueOf06.yml	false	false	2.836318	2.8519770739994783	93.736960
jbmc-regression/StringValueOf07.yml	false	unknown	1.691205	1.705187632000161	53.633024
jbmc-regression/StringValueOf08.yml	false	unknown	2.630234	2.6464538019999964	91.922432
jbmc-regression/StringValueOf09.yml	false	unknown	2.385624	2.3993237140002748	77.893632
jbmc-regression/StringValueOf10.yml	false	false	2.064503	2.0869887589997234	92.446720
jbmc-regression/SubString01.yml	true	true	2.18521	2.2065029699997467	54.145024
jbmc-regression/SubString02.yml	false	false	2.59842	2.622905310000533	80.994304
jbmc-regression/SubString03.yml	false	true	1.679238	1.684749926999757	55.726080
jbmc-regression/TokenTest01.yml	true	true	2.160682	2.183572085000378	56.221696
jbmc-regression/TokenTest02.yml	false	unknown	2.324832	2.331867353999769	54.181888
jbmc-regression/Validate01.yml	true	true	1.76076	1.773536616000456	53.571584
jbmc-regression/Validate02.yml	false	unknown	2.244642	2.2642549789998156	58.085376
jbmc-regression/aastore_aaload1.yml	true	unknown	2.191137	2.2099374939998597	113.328128
jbmc-regression/array1.yml	true	unknown	3.023569	3.0464523020000343	113.541120
jbmc-regression/array2.yml	true	true	2.67975	2.6906143609994615	100.241408
jbmc-regression/arraylength1.yml	true	unknown	2.0457	2.0550394179999785	100.081664
jbmc-regression/arrayread1.yml	true	unknown	2.715532	2.7230555820005975	100.585472
jbmc-regression/assert1.yml	true	true	2.084351	2.0927791630001593	110.526464
jbmc-regression/assert2.yml	false	false	2.546131	2.561297255999307	102.830080
jbmc-regression/assert3.yml	false	false	3.06856	3.0761229310001	113.913856
jbmc-regression/assert4.yml	false	false	2.039256	2.04489322200061	110.141440
jbmc-regression/assert5.yml	true	true	2.789447	2.794285380000474	112.099328
jbmc-regression/assert6.yml	true	true	2.167397	2.187031184999796	113.004544
jbmc-regression/astore_aload1.yml	true	true	2.124068	2.13779496799998	52.948992
jbmc-regression/athrow1.yml	false	false	1.467156	1.4810047580003811	53.719040
jbmc-regression/basic1.yml	true	true	1.866349	1.8746090049999111	53.100544
jbmc-regression/bitwise1.yml	true	unknown	1.60359	1.6165910459994848	97.079296
jbmc-regression/boolean1.yml	true	true	1.774927	1.782863118000023	100.003840
jbmc-regression/boolean2.yml	true	true	2.365454	2.374304897000002	113.561600
jbmc-regression/bug-test-gen-095.yml	false	false	1.649404	1.6630153919995792	80.154624
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.812087	1.8350763469998128	53.309440
jbmc-regression/bug-test-gen-119.yml	true	false	1.675949	1.6892300170002272	100.954112
jbmc-regression/calc.yml	true	unknown	1.651981	1.6659950690000187	100.585472
jbmc-regression/cast1.yml	true	unknown	1.826294	1.8384160570003587	114.114560
jbmc-regression/catch1.yml	true	true	1.359203	1.3618714049998744	55.681024
jbmc-regression/char1.yml	true	unknown	2.10733	2.114063339000495	100.896768
jbmc-regression/charArray.yml	true	unknown	2.302714	2.3238707319997047	113.430528
jbmc-regression/classtest1.yml	true	true	1.326516	1.3371746550001262	53.018624
jbmc-regression/const1.yml	true	true	1.357221	1.359843354000077	52.649984
jbmc-regression/constructor1.yml	true	true	1.344584	1.3476662640005088	55.382016
jbmc-regression/enum1.yml	true	true	1.398494	1.4054242699994575	52.633600
jbmc-regression/exceptions1.yml	false	false	1.411721	1.4340298289998827	53.899264
jbmc-regression/exceptions10.yml	false	false	1.392946	1.4059299390000888	53.321728
jbmc-regression/exceptions11.yml	false	false	1.415922	1.4257968270003403	55.607296
jbmc-regression/exceptions12.yml	false	false	1.886061	1.8978357289997803	53.415936
jbmc-regression/exceptions13.yml	false	false	1.458731	1.4672460940000747	55.537664
jbmc-regression/exceptions14.yml	true	true	1.766654	1.7885816660000273	53.985280
jbmc-regression/exceptions15.yml	true	true	1.349086	1.3693903260000297	54.050816
jbmc-regression/exceptions16.yml	false	false	1.415122	1.4361776840005405	56.504320
jbmc-regression/exceptions18.yml	true	true	1.401051	1.421708325000509	55.427072
jbmc-regression/exceptions2.yml	false	false	1.366001	1.37802443199962	55.439360
jbmc-regression/exceptions3.yml	false	false	1.839218	1.8523332929999015	53.555200
jbmc-regression/exceptions4.yml	true	true	1.778627	1.7916424309996728	53.493760
