tool		SPF Thursday 07 August 2025 02:48:16 AM IST	SPF Thursday 07 August 2025 02:48:16 AM IST	SPF Thursday 07 August 2025 02:48:16 AM IST	SPF Thursday 07 August 2025 02:48:16 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/Validate02.yml	true	unknown	1.671418	1.6835664569998698	55.406592
jbmc-regression/aastore_aaload1.yml	true	unknown	2.604667	2.619678501999715	113.569792
jbmc-regression/array1.yml	true	unknown	2.601425	2.614343987999746	100.384768
jbmc-regression/array2.yml	true	true	2.062174	2.073088491999897	103.743488
jbmc-regression/arraylength1.yml	true	unknown	2.085334	2.1008834259996547	101.842944
jbmc-regression/arrayread1.yml	true	unknown	2.750532	2.7595474180002384	113.553408
jbmc-regression/assert1.yml	true	true	2.715025	2.7254070609997143	109.170688
jbmc-regression/assert2.yml	true	unknown	2.390391	2.4095960780000496	114.360320
jbmc-regression/assert3.yml	true	unknown	2.639939	2.646317573000033	102.715392
jbmc-regression/assert4.yml	true	unknown	2.962529	2.975361038000301	122.777600
jbmc-regression/assert5.yml	true	true	1.999358	2.0112901330003297	100.241408
jbmc-regression/assert6.yml	true	true	2.513152	2.5212827089999337	100.470784
jbmc-regression/astore_aload1.yml	true	true	2.259109	2.2814676410002903	56.856576
jbmc-regression/athrow1.yml	true	unknown	1.750275	1.772922722000203	57.671680
jbmc-regression/basic1.yml	true	true	2.086859	2.0907554670002355	52.883456
jbmc-regression/bitwise1.yml	true	unknown	2.578967	2.5970648850002362	98.885632
jbmc-regression/boolean1.yml	true	true	2.255291	2.2743685210002695	113.389568
jbmc-regression/boolean2.yml	true	true	2.480581	2.4920906209999885	101.511168
jbmc-regression/bug-test-gen-095.yml	true	unknown	2.407754	2.4161920960000316	93.646848
jbmc-regression/bug-test-gen-119-2.yml	true	true	2.414089	2.445336788000077	53.489664
jbmc-regression/bug-test-gen-119.yml	true	unknown	2.486922	2.5099613760003194	101.875712
jbmc-regression/calc.yml	true	unknown	2.418728	2.512967660999948	113.676288
jbmc-regression/cast1.yml	true	unknown	3.063706	3.1020383969998875	114.040832
jbmc-regression/catch1.yml	true	true	2.074523	2.0970384479996937	54.149120
jbmc-regression/char1.yml	true	unknown	2.343217	2.3747220520003793	100.605952
jbmc-regression/charArray.yml	true	unknown	2.67575	2.684186838000187	100.646912
jbmc-regression/classtest1.yml	true	true	1.980103	1.9920163589999902	53.014528
jbmc-regression/const1.yml	true	true	1.812474	1.8232703410003523	52.625408
jbmc-regression/constructor1.yml	true	true	2.278873	2.3148100939997676	56.537088
jbmc-regression/enum1.yml	true	true	2.089362	2.1092330030000994	53.518336
jbmc-regression/exceptions1.yml	true	unknown	1.918	1.941894949000016	55.312384
jbmc-regression/exceptions10.yml	true	unknown	2.11066	2.133726028000183	53.927936
jbmc-regression/exceptions11.yml	true	unknown	1.948343	1.9635791440000503	55.984128
jbmc-regression/exceptions12.yml	true	unknown	1.590979	1.6031431889996384	53.116928
jbmc-regression/exceptions13.yml	true	unknown	1.65785	1.6726116539998657	53.678080
jbmc-regression/exceptions14.yml	true	true	1.503889	1.5117691290001858	53.116928
jbmc-regression/exceptions15.yml	true	true	2.069959	2.0928086449998773	53.260288
jbmc-regression/exceptions16.yml	true	unknown	1.959473	1.9806853690001844	56.311808
jbmc-regression/exceptions18.yml	true	true	1.568922	1.5904123689997505	53.960704
jbmc-regression/exceptions2.yml	true	unknown	1.557372	1.5699241309998797	53.305344
jbmc-regression/exceptions3.yml	true	unknown	1.539997	1.5516008730000976	53.108736
jbmc-regression/exceptions4.yml	true	true	1.874954	1.8879867079999713	53.649408
jbmc-regression/exceptions5.yml	true	true	2.044685	2.055627815000207	53.936128
jbmc-regression/exceptions6.yml	true	unknown	1.498288	1.511211237000225	55.885824
jbmc-regression/exceptions7.yml	true	unknown	1.482931	1.4926865949996682	56.037376
jbmc-regression/exceptions8.yml	true	unknown	1.528849	1.5413551680003366	53.960704
jbmc-regression/exceptions9.yml	true	true	1.783445	1.796256330000233	53.227520
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.907603	1.9112933129999874	53.178368
jbmc-regression/iarith1.yml	true	true	1.513767	1.5343750590000127	53.923840
jbmc-regression/iarith2.yml	true	true	1.494379	1.5074902619999193	53.358592
jbmc-regression/if_acmp1.yml	true	true	1.424598	1.437729754999964	55.300096
jbmc-regression/if_expr1.yml	true	true	2.100417	2.1095090280000477	100.274176
jbmc-regression/if_icmp1.yml	true	true	2.562526	2.575283786	114.253824
jbmc-regression/ifxx1.yml	true	true	1.372	1.3937330779999684	55.259136
jbmc-regression/instanceof1.yml	true	true	1.375932	1.3840101720002167	53.116928
jbmc-regression/instanceof2.yml	true	true	1.37181	1.3818829249998998	55.713792
jbmc-regression/instanceof3.yml	true	true	1.358106	1.3667134029997214	53.608448
jbmc-regression/instanceof4.yml	true	true	1.393582	1.4060272339997937	55.570432
jbmc-regression/instanceof5.yml	true	true	1.382199	1.391630988000088	53.821440
jbmc-regression/instanceof6.yml	true	true	1.343691	1.3464500340000995	53.465088
jbmc-regression/instanceof7.yml	true	true	1.371635	1.3928850590000366	53.448704
jbmc-regression/instanceof8.yml	true	true	1.723677	1.746807643000011	53.149696
jbmc-regression/interface1.yml	true	unknown	1.80788	1.8160619870000119	55.517184
jbmc-regression/java_append_char.yml	true	unknown	1.847493	1.866855165999823	113.655808
jbmc-regression/lazyloading4.yml	true	true	1.399681	1.411211842999819	56.565760
jbmc-regression/list1.yml	true	unknown	1.722857	1.7269496099997923	97.431552
jbmc-regression/long1.yml	true	true	1.408286	1.412216554999759	53.157888
jbmc-regression/lookupswitch1.yml	true	true	2.862156	2.8754601249997904	102.010880
jbmc-regression/multinewarray.yml	true	true	1.880841	1.8836837459998605	53.239808
jbmc-regression/overloading1.yml	true	true	1.432225	1.4448927439998442	56.205312
jbmc-regression/package1.yml	true	true	1.405202	1.427652192000096	53.895168
jbmc-regression/putfield_getfield1.yml	true	true	1.416597	1.4294977880003898	53.268480
jbmc-regression/putstatic_getstatic1.yml	true	true	1.430769	1.4431061870000121	53.620736
jbmc-regression/recursion2.yml	true	true	1.377134	1.399582527000348	53.497856
jbmc-regression/return1.yml	true	unknown	1.374591	1.394648278999739	56.193024
jbmc-regression/return2.yml	true	unknown	1.68934	1.7022081439999965	101.085184
jbmc-regression/store_load1.yml	true	true	1.860731	1.879256825000084	56.373248
jbmc-regression/swap1.yml	true	true	1.360588	1.37032400399994	53.157888
jbmc-regression/synchronized.yml	true	true	1.70409	1.7156547700001283	54.525952
jbmc-regression/tableswitch1.yml	true	true	2.602276	2.6147487990001537	115.511296
jbmc-regression/uninitialised1.yml	true	true	1.380402	1.393043619999844	54.083584
jbmc-regression/virtual1.yml	true	true	1.43198	1.4392628740001783	54.308864
jbmc-regression/virtual2.yml	true	unknown	1.484733	1.4945761199996923	55.132160
jbmc-regression/virtual4.yml	true	true	1.762556	1.7739710370001376	53.088256
jbmc-regression/virtual_function_unwinding.yml	true	true	1.871301	1.8853569500001868	53.862400
jpf-regression/ExDarko_false.yml	true	unknown	1.958235	1.9726517129997774	114.257920
jpf-regression/ExDarko_true.yml	true	true	1.733539	1.7439746069999273	100.675584
jpf-regression/ExException_false.yml	false	unknown	1.875601	1.886568071000056	114.094080
jpf-regression/ExException_true.yml	true	true	2.193296	2.2100870960002794	113.672192
jpf-regression/ExGenSymExe_false.yml	true	unknown	1.351391	1.3695379799996772	53.501952
jpf-regression/ExGenSymExe_true.yml	true	true	1.808609	1.815939010999955	54.276096
jpf-regression/ExLazy_false.yml	true	unknown	1.791806	1.8112080440000682	113.389568
jpf-regression/ExLazy_true.yml	true	true	1.811377	1.813914952000232	113.991680
jpf-regression/ExMIT_false.yml	true	unknown	1.770935	1.783294504999958	113.844224
jpf-regression/ExMIT_true.yml	true	true	1.599867	1.6125273630000265	102.338560
jpf-regression/ExSymExe10_false.yml	true	unknown	2.227629	2.250233311000102	101.761024
jpf-regression/ExSymExe10_true.yml	true	true	2.07118	2.0837413310000557	100.077568
jpf-regression/ExSymExe11_false.yml	true	unknown	1.42637	1.4356646280002678	56.360960
jpf-regression/ExSymExe11_true.yml	true	true	1.612602	1.6261768569997912	99.852288
jpf-regression/ExSymExe12_false.yml	true	unknown	1.72452	1.7364411980001933	101.408768
jpf-regression/ExSymExe12_true.yml	true	true	1.846261	1.8622402109999712	113.876992
jpf-regression/ExSymExe13_false.yml	true	unknown	2.377563	2.38293089400031	103.075840
jpf-regression/ExSymExe13_true.yml	true	true	1.740799	1.7531925369999044	110.141440
jpf-regression/ExSymExe14_false.yml	true	unknown	2.136377	2.139446143999976	101.904384
jpf-regression/ExSymExe14_true.yml	true	true	1.685393	1.6885254409999106	101.056512
jpf-regression/ExSymExe15_false.yml	true	unknown	1.82084	1.8421152209998581	114.425856
jpf-regression/ExSymExe15_true.yml	true	true	1.792361	1.7996219250003378	113.876992
jpf-regression/ExSymExe16_false.yml	true	unknown	1.354279	1.374933289999717	55.066624
jpf-regression/ExSymExe16_true.yml	true	true	1.344899	1.3477086970001437	53.084160
jpf-regression/ExSymExe17_false.yml	true	unknown	1.822641	1.8357186239995826	53.387264
jpf-regression/ExSymExe17_true.yml	true	true	1.858104	1.8675717830001304	53.358592
jpf-regression/ExSymExe18_false.yml	true	unknown	1.603538	1.6120788950001952	99.430400
jpf-regression/ExSymExe18_true.yml	true	true	1.322311	1.3341340949996265	53.428224
jpf-regression/ExSymExe19_false.yml	true	unknown	1.645401	1.6484205630003999	101.752832
jpf-regression/ExSymExe19_true.yml	true	unknown	1.686257	1.6926822069999616	126.058496
jpf-regression/ExSymExe1_false.yml	true	unknown	2.377662	2.3942173310001635	137.273344
jpf-regression/ExSymExe1_true.yml	true	true	1.385475	1.402445808000266	55.541760
jpf-regression/ExSymExe20_false.yml	true	unknown	2.841058	2.8524664169999596	165.752832
jpf-regression/ExSymExe20_true.yml	true	true	1.799739	1.8199277280000388	55.894016
jpf-regression/ExSymExe21_false.yml	true	unknown	1.676404	1.687605505999727	127.864832
jpf-regression/ExSymExe21_true.yml	true	true	1.423906	1.4326835159999973	54.423552
jpf-regression/ExSymExe25_false.yml	true	unknown	1.858812	1.8670884309999565	114.892800
jpf-regression/ExSymExe25_true.yml	true	true	1.84987	1.8627861899999516	53.616640
jpf-regression/ExSymExe26_false.yml	true	unknown	3.004291	3.016196974000195	134.201344
jpf-regression/ExSymExe26_true.yml	true	true	1.310278	1.3218526529999508	52.846592
jpf-regression/ExSymExe27_false.yml	true	unknown	1.768829	1.7771160320003219	113.876992
jpf-regression/ExSymExe27_true.yml	true	true	1.328348	1.3313183489999574	54.206464
jpf-regression/ExSymExe28_false.yml	true	unknown	1.898228	1.9007671599997593	114.102272
jpf-regression/ExSymExe28_true.yml	true	true	1.869223	1.8786213410003256	54.808576
jpf-regression/ExSymExe29_false.yml	true	unknown	1.803815	1.816491539999788	159.002624
jpf-regression/ExSymExe29_true.yml	true	true	1.392036	1.4041162990001794	54.149120
jpf-regression/ExSymExe2_false.yml	true	unknown	1.752959	1.7555716849997225	128.503808
jpf-regression/ExSymExe2_true.yml	true	true	1.434779	1.4563547449997714	54.468608
jpf-regression/ExSymExe3_false.yml	true	unknown	2.342914	2.3657029759997386	113.930240
jpf-regression/ExSymExe3_true.yml	true	true	1.39756	1.400571169000159	53.252096
jpf-regression/ExSymExe4_false.yml	true	unknown	1.97052	1.9732815149995986	140.083200
jpf-regression/ExSymExe4_true.yml	true	true	1.875923	1.8874831979996998	53.891072
jpf-regression/ExSymExe5_false.yml	true	unknown	1.669598	1.6820521119998375	101.244928
jpf-regression/ExSymExe5_true.yml	true	true	1.429051	1.4314942809996865	55.062528
jpf-regression/ExSymExe6_false.yml	true	unknown	1.639922	1.654339354000058	112.672768
jpf-regression/ExSymExe6_true.yml	true	true	1.789687	1.8019530280002982	53.968896
jpf-regression/ExSymExe7_false.yml	true	unknown	2.548232	2.5605292610002834	139.718656
jpf-regression/ExSymExe7_true.yml	true	unknown	1.790924	1.80132404699998	132.648960
jpf-regression/ExSymExe8_false.yml	true	unknown	1.718643	1.7293195829997785	128.946176
jpf-regression/ExSymExe8_true.yml	true	true	1.373594	1.3822542980001344	56.107008
jpf-regression/ExSymExe9_false.yml	true	unknown	1.361545	1.3741502559996661	53.338112
jpf-regression/ExSymExe9_true.yml	true	true	1.765125	1.7838271069999792	55.173120
jpf-regression/ExSymExeArrays_false.yml	true	unknown	1.40476	1.423702232999858	53.530624
jpf-regression/ExSymExeArrays_true.yml	true	true	1.334269	1.3463214620001054	53.960704
jpf-regression/ExSymExeBool_false.yml	true	unknown	1.371705	1.3842386490000536	53.903360
jpf-regression/ExSymExeBool_true.yml	true	true	1.342312	1.3532275890001983	52.715520
jpf-regression/ExSymExeComplexMath_false.yml	true	unknown	1.907555	1.9254274620002434	55.803904
jpf-regression/ExSymExeComplexMath_true.yml	true	true	1.504735	1.5247094149999612	55.283712
jpf-regression/ExSymExeD2I_false.yml	true	unknown	1.436039	1.443755300000248	53.706752
jpf-regression/ExSymExeD2I_true.yml	true	true	1.551698	1.5631695949996356	77.381632
jpf-regression/ExSymExeD2L_false.yml	true	true	1.921952	1.9329200470001524	79.458304
jpf-regression/ExSymExeD2L_true.yml	true	true	1.519529	1.5323261159996946	77.594624
jpf-regression/ExSymExeF2I_false.yml	true	unknown	1.882032	1.9051668689999133	55.263232
jpf-regression/ExSymExeF2I_true.yml	true	true	1.574421	1.5911899180000546	81.256448
jpf-regression/ExSymExeF2L_false.yml	true	true	1.563602	1.5827602720000868	80.863232
jpf-regression/ExSymExeF2L_true.yml	true	true	1.520576	1.5236694469999748	77.402112
jpf-regression/ExSymExeFNEG_false.yml	true	true	1.512515	1.5211906080003246	77.852672
jpf-regression/ExSymExeFNEG_true.yml	true	true	1.899329	1.9151442279999173	81.219584
jpf-regression/ExSymExeGetStatic_false.yml	true	unknown	1.867367	1.883356360000107	54.366208
