tool		SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST	SPF Saturday 31 May 2025 06:50:59 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringValueOf06.yml	false	false	1.850001	1.8739873790000274	57.077760
jbmc-regression/StringValueOf07.yml	false	unknown	1.416365	1.428801084000952	54.013952
jbmc-regression/StringValueOf08.yml	false	unknown	1.38165	1.3945303929995134	54.779904
jbmc-regression/StringValueOf09.yml	false	unknown	1.833377	1.8547586749991751	58.101760
jbmc-regression/StringValueOf10.yml	false	false	1.52822	1.5309147980005946	56.979456
jbmc-regression/SubString01.yml	true	true	1.414018	1.4269611070012616	54.808576
jbmc-regression/SubString02.yml	false	false	1.836643	1.8498555520000082	54.845440
jbmc-regression/SubString03.yml	false	false	1.448256	1.4599210970009153	54.091776
jbmc-regression/TokenTest01.yml	true	true	1.805049	1.8181204040010925	53.080064
jbmc-regression/TokenTest02.yml	false	unknown	1.365425	1.3681906000001618	55.336960
jbmc-regression/Validate01.yml	true	true	1.504213	1.524386005999986	54.595584
jbmc-regression/Validate02.yml	false	unknown	1.480426	1.4984374630003003	53.956608
jbmc-regression/aastore_aaload1.yml	true	true	461.956101	462.48753964299976	128.561152
jbmc-regression/array1.yml	true	true	1.593631	1.6020551450001221	79.507456
jbmc-regression/array2.yml	true	true	1.485263	1.496177009999883	78.458880
jbmc-regression/arraylength1.yml	true	true	2.044732	2.05128461500135	82.821120
jbmc-regression/arrayread1.yml	true	true	1.459175	1.4723148489993036	79.400960
jbmc-regression/assert1.yml	true	true	1.568762	1.5815571669991186	79.155200
jbmc-regression/assert2.yml	false	false	1.537739	1.5596564619991113	78.745600
jbmc-regression/assert3.yml	false	false	1.559228	1.575106827000127	78.315520
jbmc-regression/assert4.yml	false	false	1.921651	1.9351174539988278	79.237120
jbmc-regression/assert5.yml	true	true	1.526963	1.5451648399994156	82.042880
jbmc-regression/assert6.yml	true	true	1.442083	1.4539545040006487	78.508032
jbmc-regression/astore_aload1.yml	true	true	1.5252	1.5362434950002353	55.185408
jbmc-regression/athrow1.yml	false	false	1.825411	1.8388990710009239	53.239808
jbmc-regression/basic1.yml	true	true	1.482631	1.4921158090000972	55.181312
jbmc-regression/bitwise1.yml	true	true	1.511244	1.5338014900007693	77.991936
jbmc-regression/boolean1.yml	true	true	1.424426	1.4327248919998965	78.524416
jbmc-regression/boolean2.yml	true	true	1.876621	1.8903908169995702	80.080896
jbmc-regression/bug-test-gen-095.yml	false	false	1.364551	1.3766276000005746	54.312960
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.327383	1.3418661279993103	54.697984
jbmc-regression/bug-test-gen-119.yml	true	false	1.415319	1.4285652929993375	77.275136
jbmc-regression/calc.yml	true	true	91.055214	91.15512071100056	126.615552
jbmc-regression/cast1.yml	true	true	1.428526	1.4373502979997284	79.450112
jbmc-regression/catch1.yml	true	true	1.774153	1.7801270309992105	52.436992
jbmc-regression/char1.yml	true	true	1.45818	1.468425404998925	81.113088
jbmc-regression/charArray.yml	true	unknown	1.399283	1.4086675990001822	79.097856
jbmc-regression/classtest1.yml	true	true	1.307819	1.3251412530007656	61.018112
jbmc-regression/const1.yml	true	true	1.308481	1.3241258979996928	54.538240
jbmc-regression/constructor1.yml	true	true	1.732512	1.7356826739996905	55.078912
jbmc-regression/enum1.yml	true	true	1.326684	1.3397449870008131	55.533568
jbmc-regression/exceptions1.yml	false	false	1.370285	1.3901958989990817	55.103488
jbmc-regression/exceptions10.yml	false	false	1.305656	1.3282207720003498	54.874112
jbmc-regression/exceptions11.yml	false	false	1.760535	1.7735098020002624	53.587968
jbmc-regression/exceptions12.yml	false	false	1.334337	1.3466220430000249	54.521856
jbmc-regression/exceptions13.yml	false	false	1.341819	1.3519841890010866	53.321728
jbmc-regression/exceptions14.yml	true	true	1.315808	1.3380315470003552	53.796864
jbmc-regression/exceptions15.yml	true	true	1.75592	1.7772084219996032	53.846016
jbmc-regression/exceptions16.yml	false	false	1.333162	1.3471713559993077	53.940224
jbmc-regression/exceptions18.yml	true	true	1.310968	1.3240534090000438	54.964224
jbmc-regression/exceptions2.yml	false	false	1.303048	1.3116993499988894	55.148544
jbmc-regression/exceptions3.yml	false	false	1.315092	1.3277706110002327	53.833728
jbmc-regression/exceptions4.yml	true	true	1.350461	1.3695828550007718	53.751808
jbmc-regression/exceptions5.yml	true	true	1.788139	1.7976443570005358	53.403648
jbmc-regression/exceptions6.yml	false	false	1.347009	1.3695474809992447	55.091200
jbmc-regression/exceptions7.yml	false	false	1.342111	1.3547819779996644	54.669312
jbmc-regression/exceptions8.yml	false	false	1.322077	1.3345230690010794	56.848384
jbmc-regression/exceptions9.yml	true	true	1.294457	1.3051422539992927	53.624832
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.759537	1.7685503600005177	53.497856
jbmc-regression/iarith1.yml	true	true	1.40727	1.4198024529996474	55.123968
jbmc-regression/iarith2.yml	true	true	1.319077	1.3299809049985925	55.132160
jbmc-regression/if_acmp1.yml	true	true	1.328028	1.350584831998276	54.562816
jbmc-regression/if_expr1.yml	true	true	1.870613	1.8838881709998532	78.450688
jbmc-regression/if_icmp1.yml	true	true	1.501091	1.5137551840016386	78.807040
jbmc-regression/ifxx1.yml	true	true	1.338548	1.3482196669992845	54.628352
jbmc-regression/instanceof1.yml	true	true	1.263986	1.2764490190002107	53.579776
jbmc-regression/instanceof2.yml	true	true	1.740281	1.753230859998439	53.858304
jbmc-regression/instanceof3.yml	true	true	1.238315	1.2566797560011764	54.624256
jbmc-regression/instanceof4.yml	true	true	1.278936	1.2881631899999775	54.005760
jbmc-regression/instanceof5.yml	true	true	1.308389	1.321832016999906	53.096448
jbmc-regression/instanceof6.yml	true	true	1.363169	1.376811390000512	53.104640
jbmc-regression/instanceof7.yml	true	true	1.400406	1.4233013009998103	53.317632
jbmc-regression/instanceof8.yml	true	true	1.346149	1.3687429149995296	53.043200
jbmc-regression/interface1.yml	false	false	1.772429	1.7888889919995563	53.600256
jbmc-regression/java_append_char.yml	false	false	1.530799	1.5339448859995173	78.577664
jbmc-regression/lazyloading4.yml	true	true	1.356496	1.3590583850000257	53.018624
jbmc-regression/list1.yml	true	true	72.420022	73.29583552000076	164.708352
jbmc-regression/long1.yml	true	true	1.676433	1.6898616109992872	53.964800
jbmc-regression/lookupswitch1.yml	true	true	1.634073	1.651962428999468	88.436736
jbmc-regression/multinewarray.yml	true	true	1.46219	1.4815172380003787	54.063104
jbmc-regression/overloading1.yml	true	true	1.767144	1.7813191410004947	53.669888
jbmc-regression/package1.yml	true	true	1.310472	1.3132420139991154	53.288960
jbmc-regression/putfield_getfield1.yml	true	true	1.261232	1.2803445179997652	53.202944
jbmc-regression/putstatic_getstatic1.yml	true	true	1.696708	1.7098988699999609	54.726656
jbmc-regression/recursion2.yml	true	true	1.306688	1.3194011810010124	53.706752
jbmc-regression/return1.yml	false	false	1.301032	1.32242834599856	56.500224
jbmc-regression/return2.yml	false	false	1.604895	1.6230197280001448	82.309120
jbmc-regression/store_load1.yml	true	true	1.483968	1.495735025000613	54.476800
jbmc-regression/swap1.yml	true	true	1.769435	1.7889851309992082	54.403072
jbmc-regression/synchronized.yml	true	true	1.418976	1.4456969230013783	55.169024
jbmc-regression/tableswitch1.yml	true	true	1.71357	1.7249443390010128	79.175680
jbmc-regression/uninitialised1.yml	true	true	1.811857	1.8456785449998279	53.194752
jbmc-regression/virtual1.yml	true	true	1.480142	1.5118410129998665	54.931456
jbmc-regression/virtual2.yml	false	false	1.569099	1.5895066869998118	54.685696
jbmc-regression/virtual4.yml	true	true	1.763757	1.7837299319999147	53.481472
jbmc-regression/virtual_function_unwinding.yml	true	true	1.855752	1.8695367370000895	53.321728
jpf-regression/ExDarko_false.yml	false	false	1.672965	1.6858966370000417	78.921728
jpf-regression/ExDarko_true.yml	true	true	2.071323	2.0920078859999194	79.273984
jpf-regression/ExException_false.yml	false	false	1.659459	1.6632474119996914	79.093760
jpf-regression/ExException_true.yml	true	true	1.633717	1.6544629870004428	82.915328
jpf-regression/ExGenSymExe_false.yml	false	false	1.852719	1.8757732409994787	53.542912
jpf-regression/ExGenSymExe_true.yml	true	true	1.420794	1.44188109300012	55.402496
jpf-regression/ExLazy_false.yml	false	false	1.595764	1.6089890229995945	81.870848
jpf-regression/ExLazy_true.yml	true	true	1.549094	1.566523674999189	82.055168
jpf-regression/ExMIT_false.yml	false	false	1.883256	1.8920921259996248	78.274560
jpf-regression/ExMIT_true.yml	true	true	1.6066	1.6210355760013044	88.457216
jpf-regression/ExSymExe10_false.yml	false	false	1.576202	1.597533404999922	79.056896
jpf-regression/ExSymExe10_true.yml	true	true	2.00803	2.026616221999575	82.841600
jpf-regression/ExSymExe11_false.yml	false	false	1.477756	1.499883680999119	54.923264
jpf-regression/ExSymExe11_true.yml	true	true	1.504345	1.5145735520000017	77.324288
jpf-regression/ExSymExe12_false.yml	false	false	1.576947	1.6000786479999078	80.162816
jpf-regression/ExSymExe12_true.yml	true	true	1.956962	1.9685469739997643	80.519168
jpf-regression/ExSymExe13_false.yml	false	false	1.783276	1.792648624001231	89.047040
jpf-regression/ExSymExe13_true.yml	true	true	1.738007	1.753647045001344	79.290368
jpf-regression/ExSymExe14_false.yml	false	false	1.935771	1.954541724999217	80.084992
jpf-regression/ExSymExe14_true.yml	true	true	1.552659	1.5631065860015951	79.151104
jpf-regression/ExSymExe15_false.yml	false	false	1.583513	1.592400927998824	79.400960
jpf-regression/ExSymExe15_true.yml	true	true	1.928925	1.9367644190006104	78.962688
jpf-regression/ExSymExe16_false.yml	false	false	1.415637	1.4288703080001142	53.252096
jpf-regression/ExSymExe16_true.yml	true	true	1.434097	1.4378497569996398	53.739520
jpf-regression/ExSymExe17_false.yml	false	false	1.580534	1.611800537999443	53.391360
jpf-regression/ExSymExe17_true.yml	true	true	1.829969	1.8466034190005303	54.013952
jpf-regression/ExSymExe18_false.yml	false	false	1.764369	1.8517122249995737	78.983168
jpf-regression/ExSymExe18_true.yml	true	true	1.718229	1.7330195419999654	53.227520
jpf-regression/ExSymExe19_false.yml	false	false	2.078629	2.0878907950009307	80.527360
jpf-regression/ExSymExe19_true.yml	true	true	4.068463	4.072850030001064	126.050304
jpf-regression/ExSymExe1_false.yml	false	false	2.051843	2.0553771470003994	115.138560
jpf-regression/ExSymExe1_true.yml	true	true	1.832176	1.845007018000615	53.514240
jpf-regression/ExSymExe20_false.yml	false	false	5.314696	5.32802383499984	156.520448
jpf-regression/ExSymExe20_true.yml	true	true	1.802992	1.8287918219994026	53.678080
jpf-regression/ExSymExe21_false.yml	false	false	2.105146	2.1156016799995996	128.462848
jpf-regression/ExSymExe21_true.yml	true	true	1.89609	1.9151912729994365	53.547008
jpf-regression/ExSymExe25_false.yml	false	false	1.685243	1.703885271001127	82.022400
jpf-regression/ExSymExe25_true.yml	true	true	1.871878	1.9124161549989367	53.452800
jpf-regression/ExSymExe26_false.yml	false	false	2.392934	2.4397034120011085	117.399552
jpf-regression/ExSymExe26_true.yml	true	true	1.571634	1.621077678999427	53.071872
jpf-regression/ExSymExe27_false.yml	false	false	2.058385	2.0686005819989077	81.104896
jpf-regression/ExSymExe27_true.yml	true	true	1.467797	1.471071893000044	53.297152
jpf-regression/ExSymExe28_false.yml	false	false	1.79111	1.8103661740005919	83.062784
jpf-regression/ExSymExe28_true.yml	true	true	1.590538	1.6013687340000615	54.669312
jpf-regression/ExSymExe29_false.yml	false	false	3.53557	3.55802661800044	169.218048
jpf-regression/ExSymExe29_true.yml	true	true	1.619065	1.632894414000475	53.325824
jpf-regression/ExSymExe2_false.yml	false	false	2.269374	2.32600348699998	127.033344
jpf-regression/ExSymExe2_true.yml	true	true	1.602764	1.6176122199995007	53.116928
jpf-regression/ExSymExe3_false.yml	false	false	2.058601	2.077783583999917	82.628608
jpf-regression/ExSymExe3_true.yml	true	true	1.578188	1.5982756110006449	53.342208
jpf-regression/ExSymExe4_false.yml	false	false	3.376719	3.3875904390006326	125.501440
jpf-regression/ExSymExe4_true.yml	true	true	1.632035	1.6542567890010105	53.448704
jpf-regression/ExSymExe5_false.yml	false	false	2.149034	2.1644591839994973	88.248320
jpf-regression/ExSymExe5_true.yml	true	true	1.472595	1.48808733199985	56.520704
jpf-regression/ExSymExe6_false.yml	false	false	1.510117	1.5226754569994227	78.368768
jpf-regression/ExSymExe6_true.yml	true	true	1.80431	1.8234692240002914	54.075392
jpf-regression/ExSymExe7_false.yml	false	false	1.739219	1.7567930620007246	108.564480
jpf-regression/ExSymExe7_true.yml	true	true	2.019833	2.0228950130003795	126.181376
jpf-regression/ExSymExe8_false.yml	false	false	2.385096	2.3995254209985433	119.832576
jpf-regression/ExSymExe8_true.yml	true	true	1.367369	1.388987199999974	53.198848
jpf-regression/ExSymExe9_false.yml	false	false	1.36757	1.3802118200001132	53.399552
jpf-regression/ExSymExe9_true.yml	true	true	1.562643	1.565835605000757	53.084160
jpf-regression/ExSymExeArrays_false.yml	false	false	1.821158	1.8400530269991577	53.149696
jpf-regression/ExSymExeArrays_true.yml	true	true	1.440212	1.4608197920006205	58.613760
