tool		SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringValueOf07.yml	true	unknown	1.776064	1.8131762570001229	53.972992
jbmc-regression/StringValueOf08.yml	false	unknown	2.230053	2.254045998000038	55.877632
jbmc-regression/StringValueOf09.yml	false	unknown	1.982266	2.004452852999748	56.967168
jbmc-regression/StringValueOf10.yml	true	unknown	2.004703	2.019273638999948	57.372672
jbmc-regression/SubString01.yml	true	true	2.11637	2.1395158859995718	52.502528
jbmc-regression/SubString02.yml	false	unknown	1.917094	1.9497397249997448	58.236928
jbmc-regression/SubString03.yml	false	unknown	2.284399	2.302240907999476	56.795136
jbmc-regression/TokenTest01.yml	true	true	1.891179	1.915133889999197	54.407168
jbmc-regression/TokenTest02.yml	true	unknown	1.877995	1.9006734129998222	54.648832
jbmc-regression/Validate01.yml	true	true	2.290907	2.3439993590000086	55.754752
jbmc-regression/Validate02.yml	true	unknown	1.985624	2.0417939139997543	54.517760
jbmc-regression/aastore_aaload1.yml	true	true	468.208872	469.08073860199966	128.503808
jbmc-regression/array1.yml	true	true	2.007798	2.098862884000482	81.690624
jbmc-regression/array2.yml	true	true	1.839226	1.8792863779999607	78.626816
jbmc-regression/arraylength1.yml	true	true	1.748162	1.7703442550000545	82.788352
jbmc-regression/arrayread1.yml	true	true	2.233883	2.250772682999923	79.282176
jbmc-regression/assert1.yml	true	true	1.778433	1.7888747679999142	78.049280
jbmc-regression/assert2.yml	true	false	1.749587	1.7630562579997786	78.675968
jbmc-regression/assert3.yml	true	false	1.744201	1.7691913109993038	77.971456
jbmc-regression/assert4.yml	true	false	2.30301	2.3351059599999644	78.548992
