tool		SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringMiscellaneous01.yml	true	true	2.090574	2.0992025499999727	53.309440
jbmc-regression/StringMiscellaneous02.yml	true	unknown	1.663226	1.6862843959999054	56.815616
jbmc-regression/StringMiscellaneous03.yml	false	unknown	2.168607	2.189005323999936	59.047936
jbmc-regression/StringMiscellaneous04.yml	true	true	1.644551	1.6651187610000306	55.697408
jbmc-regression/StringStartEnd01.yml	true	true	1.616056	1.6354559589999553	64.172032
jbmc-regression/StringStartEnd02.yml	true	false	2.184346	2.202168553999968	58.130432
jbmc-regression/StringStartEnd03.yml	true	false	1.726444	1.7595698549999952	57.880576
jbmc-regression/StringValueOf01.yml	true	true	1.606513	1.6276253720000113	54.030336
jbmc-regression/StringValueOf02.yml	false	false	1.64511	1.6657159280000542	54.583296
jbmc-regression/StringValueOf03.yml	false	false	2.11301	2.1269892760000175	57.253888
jbmc-regression/StringValueOf04.yml	true	false	1.704292	1.720656018999989	60.944384
jbmc-regression/StringValueOf05.yml	true	unknown	2.122847	2.1304557129999466	57.720832
jbmc-regression/StringValueOf06.yml	true	false	1.589327	1.6119611060000807	58.499072
jbmc-regression/StringValueOf07.yml	true	unknown	1.576766	1.5980697090000149	53.731328
jbmc-regression/StringValueOf08.yml	false	unknown	2.142202	2.163191203999986	55.152640
jbmc-regression/StringValueOf09.yml	false	unknown	1.603806	1.6355108519999249	55.111680
jbmc-regression/StringValueOf10.yml	true	false	1.657786	1.6778873969999495	59.338752
jbmc-regression/SubString01.yml	true	true	1.497046	1.5100141880000137	53.518336
jbmc-regression/SubString02.yml	false	false	2.131446	2.1499772860000803	58.458112
jbmc-regression/SubString03.yml	false	false	2.168118	2.186787329000026	57.151488
jbmc-regression/TokenTest01.yml	true	true	1.610393	1.6323752780000405	52.776960
jbmc-regression/TokenTest02.yml	true	unknown	1.555953	1.5591541940000297	53.870592
jbmc-regression/Validate01.yml	true	true	1.632262	1.6511149770000202	54.177792
jbmc-regression/Validate02.yml	true	unknown	2.14235	2.16158782399998	61.808640
jbmc-regression/aastore_aaload1.yml	true	true	352.619113	354.66756853999993	127.098880
jbmc-regression/array1.yml	true	true	1.825831	1.8368749589999425	80.007168
jbmc-regression/array2.yml	true	true	1.64559	1.657276579999916	78.278656
jbmc-regression/arraylength1.yml	true	true	2.278236	2.3014197929999227	81.408000
jbmc-regression/arrayread1.yml	true	true	2.18601	2.1997240279999914	79.048704
jbmc-regression/assert1.yml	true	true	1.727096	1.7477958129999251	82.178048
jbmc-regression/assert2.yml	true	false	1.693796	1.705358365000052	78.811136
jbmc-regression/assert3.yml	true	false	2.155141	2.1682135910000397	78.704640
jbmc-regression/assert4.yml	true	false	1.637101	1.6506490869999197	80.240640
jbmc-regression/assert5.yml	true	true	1.657534	1.6706352620000189	78.307328
jbmc-regression/assert6.yml	true	true	2.20222	2.21558871000002	79.458304
jbmc-regression/astore_aload1.yml	true	true	2.221578	2.246051236000085	53.313536
jbmc-regression/athrow1.yml	true	false	1.660618	1.6834988770000336	53.338112
jbmc-regression/basic1.yml	true	true	1.665759	1.6785026060000519	53.280768
jbmc-regression/bitwise1.yml	true	true	2.147914	2.163573927000016	79.036416
jbmc-regression/boolean1.yml	true	true	2.201927	2.216347928999994	78.999552
jbmc-regression/boolean2.yml	true	true	1.913998	1.925648260999992	78.143488
jbmc-regression/bug-test-gen-095.yml	true	false	1.941171	1.952216591000024	58.265600
jbmc-regression/bug-test-gen-119-2.yml	true	true	2.072828	2.091607890000091	55.762944
jbmc-regression/bug-test-gen-119.yml	true	false	1.753645	1.7668414870000788	78.221312
jbmc-regression/calc.yml	true	true	85.061721	85.11956355100006	127.414272
jbmc-regression/cast1.yml	true	true	2.267993	2.2786284419998992	78.934016
jbmc-regression/catch1.yml	true	true	1.557329	1.5798601179999423	53.882880
jbmc-regression/char1.yml	true	unknown	2.079771	2.0935352889999876	58.347520
jbmc-regression/charArray.yml	true	unknown	1.572726	1.590829941999914	57.061376
jbmc-regression/classtest1.yml	true	true	1.500422	1.5214688170000272	54.566912
jbmc-regression/const1.yml	true	true	2.04064	2.062730130000091	53.415936
jbmc-regression/constructor1.yml	true	true	1.972865	1.9962634720000096	55.582720
jbmc-regression/enum1.yml	true	true	1.55949	1.5808455039999671	53.731328
jbmc-regression/exceptions1.yml	true	false	1.545235	1.5517016960000092	58.466304
jbmc-regression/exceptions10.yml	true	false	2.005704	2.0256760729999996	55.222272
jbmc-regression/exceptions11.yml	true	false	1.544507	1.5649052539999957	54.087680
jbmc-regression/exceptions12.yml	true	false	2.006484	2.0202546699999857	53.424128
jbmc-regression/exceptions13.yml	true	false	1.563193	1.5828527400000212	58.089472
jbmc-regression/exceptions14.yml	true	true	2.007747	2.019555588000003	52.445184
jbmc-regression/exceptions15.yml	true	true	1.564716	1.5676571019999983	53.215232
jbmc-regression/exceptions16.yml	true	false	1.560627	1.5833120510000072	54.972416
jbmc-regression/exceptions18.yml	true	true	1.963373	1.9861758429999554	55.422976
jbmc-regression/exceptions2.yml	true	false	1.551163	1.5724993060000543	53.846016
jbmc-regression/exceptions3.yml	true	false	1.564658	1.5857527390000996	53.903360
jbmc-regression/exceptions4.yml	true	true	2.018036	2.041419123999958	53.399552
jbmc-regression/exceptions5.yml	true	true	2.07329	2.0797919830000637	52.629504
jbmc-regression/exceptions6.yml	true	false	1.508765	1.5274117299999261	54.951936
jbmc-regression/exceptions7.yml	true	false	1.536576	1.5484026230000154	53.407744
jbmc-regression/exceptions8.yml	true	false	2.046331	2.0692057699999395	54.743040
jbmc-regression/exceptions9.yml	true	true	2.041848	2.0540161559999888	53.743616
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.480765	1.4940984439999738	53.501952
jbmc-regression/iarith1.yml	true	true	1.578972	1.5920713170000909	53.596160
jbmc-regression/iarith2.yml	true	true	2.114017	2.130682917999934	53.547008
jbmc-regression/if_acmp1.yml	true	true	1.697544	1.7245565700000043	55.635968
jbmc-regression/if_expr1.yml	true	true	1.802707	1.8129631729999574	80.588800
jbmc-regression/if_icmp1.yml	true	true	2.273789	2.287335645999974	80.707584
jbmc-regression/ifxx1.yml	true	true	1.603653	1.6207317039999225	54.550528
jbmc-regression/instanceof1.yml	true	true	1.985683	2.002383200000054	54.140928
jbmc-regression/instanceof2.yml	true	true	1.496263	1.4997905040000887	52.846592
jbmc-regression/instanceof3.yml	true	true	2.008181	2.0308708329999945	52.948992
jbmc-regression/instanceof4.yml	true	true	1.58153	1.609765091999975	53.891072
jbmc-regression/instanceof5.yml	true	true	1.58461	1.5946780470000022	53.071872
jbmc-regression/instanceof6.yml	true	true	1.990188	1.999541757999964	53.063680
jbmc-regression/instanceof7.yml	true	true	1.989778	2.014515857000106	53.047296
jbmc-regression/instanceof8.yml	true	true	1.566229	1.5821864189999815	52.793344
jbmc-regression/interface1.yml	true	false	1.658343	1.679517078999993	54.534144
jbmc-regression/java_append_char.yml	true	false	2.320088	2.3403255830000944	82.137088
jbmc-regression/lazyloading4.yml	true	true	1.545459	1.5687186640000164	53.813248
jbmc-regression/list1.yml	true	true	100.05643	100.09629204700002	165.400576
jbmc-regression/long1.yml	true	true	1.549598	1.5727716479999572	53.145600
jbmc-regression/lookupswitch1.yml	true	true	1.757682	1.7706678939999847	79.159296
jbmc-regression/multinewarray.yml	true	true	2.025223	2.0493852939999897	53.346304
jbmc-regression/overloading1.yml	true	true	1.510619	1.5233214479999333	52.891648
jbmc-regression/package1.yml	true	true	1.595997	1.61791555100001	55.242752
jbmc-regression/putfield_getfield1.yml	true	true	1.963082	1.992255560999979	54.394880
jbmc-regression/putstatic_getstatic1.yml	true	true	1.574568	1.5982454720000305	53.207040
jbmc-regression/recursion2.yml	true	true	1.523314	1.544824329999983	53.932032
jbmc-regression/return1.yml	true	false	1.57309	1.5944690750000063	54.611968
jbmc-regression/return2.yml	true	false	2.172389	2.1894817579999426	88.121344
jbmc-regression/store_load1.yml	true	true	1.553358	1.5732722499999454	52.727808
jbmc-regression/swap1.yml	true	true	1.525496	1.5391019390000338	52.707328
jbmc-regression/synchronized.yml	true	true	1.966939	1.9873244049999812	54.849536
jbmc-regression/tableswitch1.yml	true	true	1.715263	1.718826087000025	81.530880
jbmc-regression/uninitialised1.yml	true	true	1.55312	1.5754835519999233	53.465088
jbmc-regression/virtual1.yml	true	true	2.10695	2.1206773010000006	52.957184
jbmc-regression/virtual2.yml	true	false	1.863675	1.8873162560000765	54.603776
jbmc-regression/virtual4.yml	true	true	1.748501	1.7706005140000798	56.352768
jbmc-regression/virtual_function_unwinding.yml	true	true	1.532832	1.552940536000051	53.571584
jpf-regression/ExDarko_false.yml	true	false	1.694495	1.7024177130000453	78.036992
jpf-regression/ExDarko_true.yml	true	true	2.188641	2.2014901639998925	78.430208
jpf-regression/ExException_false.yml	false	false	1.691287	1.6999079749999737	88.326144
jpf-regression/ExException_true.yml	true	true	1.611377	1.6150797599999578	78.188544
jpf-regression/ExGenSymExe_false.yml	true	false	2.042005	2.0566282109999747	55.050240
jpf-regression/ExGenSymExe_true.yml	true	true	1.561609	1.581465511000033	53.731328
