tool		SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/astore_aload1.yml	true	true	2.184221	2.7556452359985997	53.157888
jbmc-regression/athrow1.yml	false	false	2.186252	3.204941379999582	56.864768
jbmc-regression/basic1.yml	true	true	2.004719	2.198861888000465	54.812672
jbmc-regression/bitwise1.yml	true	true	2.088991	2.6073529359982786	81.674240
jbmc-regression/boolean1.yml	true	true	2.04547	2.437625286000184	78.581760
jbmc-regression/boolean2.yml	true	true	2.150004	2.8590019359999133	82.681856
jbmc-regression/bug-test-gen-095.yml	false	false	2.094567	2.890478108000025	62.173184
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.96634	2.3824009359996126	52.961280
jbmc-regression/bug-test-gen-119.yml	true	false	2.286926	3.121329675999732	80.437248
jbmc-regression/calc.yml	true	true	144.837188	176.79090366000128	125.648896
jbmc-regression/cast1.yml	true	true	2.252925	2.964551618999394	80.171008
jbmc-regression/catch1.yml	true	true	1.902254	2.4050640250006836	54.259712
jbmc-regression/char1.yml	true	true	2.297419	3.0747859950006386	78.061568
jbmc-regression/charArray.yml	true	unknown	2.320564	3.2815113449996716	77.836288
jbmc-regression/classtest1.yml	true	true	2.016541	2.6633050719992752	52.359168
jbmc-regression/const1.yml	true	true	2.079769	2.6595604029989772	53.374976
jbmc-regression/constructor1.yml	true	true	2.079765	2.7670459979999578	53.919744
jbmc-regression/enum1.yml	true	true	2.176391	2.4851641719997133	53.014528
jbmc-regression/exceptions1.yml	false	false	2.118906	2.6272539959991263	53.317632
jbmc-regression/exceptions10.yml	false	false	2.033456	2.4337426649999543	52.637696
jbmc-regression/exceptions11.yml	false	false	2.030291	2.343331312000373	54.169600
jbmc-regression/exceptions12.yml	false	false	1.951305	2.666595488999519	52.989952
jbmc-regression/exceptions13.yml	false	false	1.887881	2.3017017459987983	52.793344
jbmc-regression/exceptions14.yml	true	true	1.859341	2.6092007989991544	52.875264
jbmc-regression/exceptions15.yml	true	true	1.921192	2.195793761000459	53.202944
jbmc-regression/exceptions16.yml	false	false	2.01591	2.635995523998645	54.337536
jbmc-regression/exceptions18.yml	true	true	2.042118	2.700663790999897	53.690368
jbmc-regression/exceptions2.yml	false	false	2.009241	2.5643160689996876	53.387264
jbmc-regression/exceptions3.yml	false	false	2.003398	2.7455458900003578	53.612544
jbmc-regression/exceptions4.yml	true	true	2.094515	2.631277147000219	55.713792
jbmc-regression/exceptions5.yml	true	true	2.090563	2.5720524259995727	53.256192
jbmc-regression/exceptions6.yml	false	false	2.004649	2.5725906629995734	53.276672
jbmc-regression/exceptions7.yml	false	false	2.114674	2.7035901180006476	53.960704
jbmc-regression/exceptions8.yml	false	false	2.22299	3.2865153170005215	53.035008
jbmc-regression/exceptions9.yml	true	true	1.984272	2.4184905900001468	53.821440
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.975421	2.6255122660004417	53.149696
jbmc-regression/iarith1.yml	true	true	2.008344	2.415196879999712	53.866496
jbmc-regression/iarith2.yml	true	true	1.847499	2.0143113379999704	52.899840
